Compound,Neutral mass (Da),m/z,Charge,Retention time (min),Chromatographic peak width (min),Identifications,Isotope Distribution,Maximum Abundance,Minimum CV%,20190805_Blank_Neg_06,20190805_Blank_Neg_06,Accepted Compound ID,Accepted Description,Adducts,Formula,Score,Fragmentation Score,Mass Error (ppm),Isotope Similarity,Retention Time Error (mins),Compound Link
15.08_279.9868n,279.9867659,301.0235901,1,15.08261667,4.783083333,0,100 - 31.7,738219.7458,---,738219.7458,738219.7458,,,"M-H2O-H, M-H, M+Na-2H, M+Cl",,,,,,,
12.36_912.5736n,912.5735588,911.6165168,1,12.36126667,0.9402,0,100 - 85.1 - 64.7 - 24 - 5.39,304036.8117,---,304036.8117,304036.8117,,,"M-H, M+Na-2H, M+Cl, M+CH3COOH",,,,,,,
12.53_774.6287n,774.6287327,773.6214563,1,12.5263,1.138183333,0,100 - 84 - 47.2,222192.4651,---,222192.4651,222192.4651,,,"M-H, M+Cl, M+CH3COOH",,,,,,,
12.16_548.4145n,548.4145333,607.4290154,1,12.16328333,0.956283333,0,100 - 45.6 - 29.2 - 9.75 - 3.39 - 0.165,1100771.535,---,1100771.535,1100771.535,,,"M-H, M+Cl, M+CH3COOH",,,,,,,
18.28_639.9905n,639.9905138,674.9714937,1,18.28253333,0.247383333,0,100 - 26.4,30967.15933,---,30967.15933,30967.15933,,,"M-H, M+Na-2H, M+Cl",,,,,,,
12.05_640.3874n,640.3874395,661.3621073,1,12.048,0.85745,0,100 - 47.5 - 41.3 - 7.16,98868.20112,---,98868.20112,98868.20112,,,"M-H, M+Na-2H, M+Cl",,,,,,,
18.33_270.0213n,270.0212875,269.0140111,1,18.33195,5.294333333,0,100 - 26.1 - 9.82,1282045.793,---,1282045.793,1282045.793,,,"M-H, M+Na-2H, M+CH3COOH",,,,,,,
16.30_386.0304n,386.0303907,367.01253,1,16.30341667,2.969,0,100 - 31.9 - 34.6 - 1.09,377656.3194,---,377656.3194,377656.3194,,,"M-H2O-H, M+Na-2H, M+Cl",,,,,,,
14.98_142.0127n,142.0127136,201.0270143,1,14.98345,14.87775,0,100 - 16.1 - 11.5,5749268.973,---,5749268.973,5749268.973,,,"M-H, M+Cl, M+CH3COOH",,,,,,,
18.30_629.9633n,629.9632685,688.958567,1,18.299,1.055433333,0,100 - 33.1,139872.782,---,139872.782,139872.782,,,"M-H, M+Cl, M+CH3COOH",,,,,,,
18.35_203.9788n,203.9788178,262.9820587,1,18.34841667,1.187216667,0,100 - 22.2,85611.08893,---,85611.08893,85611.08893,,,"M-H2O-H, M+CH3COOH, 2M-H",,,,,,,
18.60_467.8126n,467.812637,466.8053606,1,18.5958,0.098816667,0,100 - 7.36,4272.752034,---,4272.752034,4272.752034,,,"M-H, M+Na-2H, M+CH3COOH",,,,,,,
18.66_253.9078n,253.9078047,312.8969303,1,18.66168333,0.2474,0,100 - 12.2,9672.028243,---,9672.028243,9672.028243,,,"M-H, M+Na-2H, M+CH3COOH",,,,,,,
18.63_379.8566n,379.8565847,378.8493083,1,18.62873333,0.2968,0,100 - 26.2,32621.07396,---,32621.07396,32621.07396,,,"M-H2O-H, M-H, M+CH3COOH",,,,,,,
18.56_623.7596n,623.7596103,604.7417691,1,18.56286667,0.098816667,0,100 - 40.5,5711.52663,---,5711.52663,5711.52663,,,"M-H2O-H, M-H, M+CH3COOH",,,,,,,
18.56_541.7935n,541.7935467,522.7757055,1,18.56286667,0.148233333,0,100 - 30.4 - 21.2 - 6.63,18711.3604,---,18711.3604,18711.3604,,,"M-H2O-H, M-H, M+CH3COOH",,,,,,,
18.56_461.8130n,461.8129791,460.8057026,1,18.56286667,0.181166667,0,100 - 25.9,18528.03791,---,18528.03791,18528.03791,,,"M-H, M+Na-2H, M+CH3COOH",,,,,,,
18.35_613.9909n,613.9909435,612.9930013,1,18.34841667,0.494766667,0,100 - 28.1,61098.46601,---,61098.46601,61098.46601,,,"M-H, M+Na-2H, M+CH3COOH",,,,,,,
18.33_476.0026n,476.0026453,496.9829262,1,18.33195,0.26385,0,100 - 23.9,26155.04709,---,26155.04709,26155.04709,,,"M-H2O-H, M-H, M+Na-2H",,,,,,,
18.33_331.9858n,331.9857648,390.9990688,1,18.33195,0.3462,0,100 - 25.6,33920.17479,---,33920.17479,33920.17479,,,"M-H2O-H, M+CH3COOH, 2M-H",,,,,,,
