Compound,Neutral mass (Da),m/z,Charge,Retention time (min),Chromatographic peak width (min),Identifications,Isotope Distribution,Maximum Abundance,Minimum CV%,20190805_Blank_Pos_06a,20190805_Blank_Pos_06a,Accepted Compound ID,Accepted Description,Adducts,Formula,Score,Fragmentation Score,Mass Error (ppm),Isotope Similarity,Retention Time Error (mins),Compound Link
1.02_175.1338m/z,,175.1338442,1,1.015316667,0.181516667,0,100,565.2356997,---,565.2356997,565.2356997,,,,,,,,,,
1.02_273.1678m/z,,273.1677662,1,1.015316667,0.115633333,0,100 - 9.29,2437.030844,---,2437.030844,2437.030844,,,,,,,,,,
1.02_308.2204n,308.2203794,331.2098281,1,1.015316667,0.09915,0,100 - 11.3,3882.095355,---,3882.095355,3882.095355,,,"M+H, M+Na",,,,,,,
1.02_323.2435m/z,,323.24345,1,1.015316667,0.09915,0,100 - 18.6,1594.452633,---,1594.452633,1594.452633,,,,,,,,,,
1.02_367.2696m/z,,367.2695518,1,1.015316667,0.115633333,0,100 - 20.2,3496.264927,---,3496.264927,3496.264927,,,,,,,,,,
1.02_384.2967m/z,,384.2967364,1,1.015316667,0.09915,0,100 - 37,1029.890109,---,1029.890109,1029.890109,,,,,,,,,,
1.02_424.3041n,424.3040952,442.3377458,1,1.015316667,0.165033333,0,100 - 27.5 - 3.92,10078.59682,---,10078.59682,10078.59682,,,"M+H-2H2O, M+H, M+NH4",,,,,,,
1.02_482.3071n,482.3070976,500.3792545,1,1.015316667,0.181516667,0,100 - 28.8,11099.10939,---,11099.10939,11099.10939,,,"M+H-2H2O, M+NH4, M+Na",,,,,,,
1.03_117.0915m/z,,117.0914537,1,1.031783333,0.165033333,0,100,569.7278921,---,569.7278921,569.7278921,,,,,,,,,,
1.03_287.1835m/z,,287.1835031,1,1.031783333,0.09915,0,100 - 16.7,1418.239014,---,1418.239014,1418.239014,,,,,,,,,,
1.03_558.4210m/z,,558.4209994,1,1.031783333,0.197983333,0,100 - 32.5 - 14.3,9831.134441,---,9831.134441,9831.134441,,,,,,,,,,
1.06_345.2254m/z,,345.2254134,1,1.064733333,0.1321,0,100 - 8.79,1487.432208,---,1487.432208,1487.432208,,,,,,,,,,
1.06_380.2793n,380.2793402,398.3128126,1,1.064733333,0.148566667,0,100 - 5.88,4149.891419,---,4149.891419,4149.891419,,,"M+H, M+NH4",,,,,,,
1.11_456.3531m/z,,456.3530693,1,1.114466667,0.2474,0,100 - 28.2,5431.111809,---,5431.111809,5431.111809,,,,,,,,,,
1.11_616.4630m/z,,616.4629629,1,1.114466667,0.2474,0,100 - 35.1 - 11.4,10000.67899,---,10000.67899,10000.67899,,,,,,,,,,
1.15_514.3948m/z,,514.3948495,1,1.147416667,0.2474,0,100 - 29.7,5565.553551,---,5565.553551,5565.553551,,,,,,,,,,
1.15_572.4368m/z,,572.4367606,1,1.147416667,0.280333333,0,100 - 32.9,5399.279824,---,5399.279824,5399.279824,,,,,,,,,,
1.15_674.5046m/z,,674.5045708,1,1.147416667,0.2968,0,100 - 38.2 - 15.8,9879.009499,---,9879.009499,9879.009499,,,,,,,,,,
1.18_351.2745m/z,,351.274458,1,1.18035,0.19765,0,100 - 27.6,2093.765683,---,2093.765683,2093.765683,,,,,,,,,,
1.18_630.4786m/z,,630.4786007,1,1.18035,0.297133333,0,100 - 37,4917.716071,---,4917.716071,4917.716071,,,,,,,,,,
1.18_732.5466m/z,,732.546599,1,1.18035,0.3136,0,100 - 40.2,8096.078762,---,8096.078762,8096.078762,,,,,,,,,,
1.20_746.5618m/z,,746.561769,1,1.196833333,0.26385,0,100 - 44.4,3442.077757,---,3442.077757,3442.077757,,,,,,,,,,
1.21_688.5201m/z,,688.5201144,1,1.2133,0.280333333,0,100 - 37.7,4139.053913,---,4139.053913,4139.053913,,,,,,,,,,
1.21_790.5884m/z,,790.5883939,1,1.2133,0.34655,0,100 - 46.1,6979.659245,---,6979.659245,6979.659245,,,,,,,,,,
1.23_426.3422m/z,,426.3421586,1,1.229766667,0.21445,0,100 - 17.7,2603.034194,---,2603.034194,2603.034194,,,,,,,,,,
1.23_484.3801m/z,,484.3801159,1,1.229766667,0.379483333,0,100 - 40.4,5082.341678,---,5082.341678,5082.341678,,,,,,,,,,
1.28_848.6301m/z,,848.6300742,1,1.279183333,0.330066667,0,100 - 45.4,5776.322603,---,5776.322603,5776.322603,,,,,,,,,,
1.30_223.0646m/z,,223.0646453,1,1.29565,0.230916667,0,100 - 18.3,1411.65389,---,1411.65389,1411.65389,,,,,,,,,,
1.30_906.6719m/z,,906.671906,1,1.29565,0.329733333,0,100 - 52.8,4759.846256,---,4759.846256,4759.846256,,,,,,,,,,
1.31_542.4218m/z,,542.4217801,1,1.312116667,0.445366667,0,100,3488.29812,---,3488.29812,3488.29812,,,,,,,,,,
1.38_600.4675m/z,,600.4674696,1,1.378333333,0.2968,0,100 - 34.5,3675.606496,---,3675.606496,3675.606496,,,,,,,,,,
1.38_658.5097m/z,,658.5096917,1,1.378333333,0.297133333,0,100 - 36.9,3105.291164,---,3105.291164,3105.291164,,,,,,,,,,
1.49_118.0864m/z,,118.0864393,1,1.493633333,0.395616667,0,100 - 11.8,4730.465424,---,4730.465424,4730.465424,,,,,,,,,,
1.54_258.0782n,258.0782252,281.0517062,1,1.543033333,0.2474,0,100 - 32.5,5214.711787,---,5214.711787,5214.711787,,,"M+H-2H2O, M+Na",,,,,,,
1.54_297.0823m/z,,297.0822955,1,1.543033333,0.148566667,0,100,922.6485753,---,922.6485753,922.6485753,,,,,,,,,,
1.94_445.1203m/z,,445.1203151,1,1.939,0.296816667,0,100 - 43.5,4870.999859,---,4870.999859,4870.999859,,,,,,,,,,
2.00_371.1018m/z,,371.1018459,1,2.004883333,0.296816667,0,100 - 34.6 - 21.4,7008.26148,---,7008.26148,7008.26148,,,,,,,,,,
2.04_332.0969n,332.0969199,297.0830669,1,2.037816667,0.296816667,0,100 - 28.6,6134.307444,---,6134.307444,6134.307444,,,"M+H-2H2O, M+Na",,,,,,,
2.05_258.0781n,258.0780727,281.0516722,1,2.054283333,0.313283333,0,100 - 29.6,8905.795353,---,8905.795353,8905.795353,,,"M+H-2H2O, M+Na",,,,,,,
2.07_429.0163m/z,,429.0163192,1,2.071083333,1.698816667,0,100 - 10,71325.2362,---,71325.2362,71325.2362,,,,,,,,,,
2.22_246.2076m/z,,246.2076454,1,2.219333333,0.098816667,0,100 - 13.2,1401.207527,---,1401.207527,1401.207527,,,,,,,,,,
2.22_269.9667m/z,,269.9666863,1,2.219333333,3.562983333,0,100,39600.08748,---,39600.08748,39600.08748,,,,,,,,,,
2.24_458.0672m/z,,458.0672005,1,2.2358,0.098816667,0,100 - 12.4,2426.024765,---,2426.024765,2426.024765,,,,,,,,,,
2.27_179.0356m/z,,179.0356286,1,2.268733333,0.19765,0,100 - 5.13,4505.04003,---,4505.04003,4505.04003,,,,,,,,,,
2.32_267.9686m/z,,267.9686028,1,2.318483333,3.628866667,0,100,44963.9495,---,44963.9495,44963.9495,,,,,,,,,,
2.38_370.9627m/z,,370.9627424,1,2.384366667,6.99355,0,100,83981.55848,---,83981.55848,83981.55848,,,,,,,,,,
2.80_371.1018m/z,,371.1018181,1,2.796483333,0.346216667,0,100 - 36 - 23.2 - 5.67 - 1.49,52835.39396,---,52835.39396,52835.39396,,,,,,,,,,
2.80_536.1421n,536.1420962,554.1759217,1,2.796483333,0.2968,0,100 - 48.5 - 14.7,14852.72599,---,14852.72599,14852.72599,,,"M+H-H2O, M+NH4, M+Na",,,,,,,
2.81_595.2026m/z,,595.202571,1,2.81295,0.280316667,0,100 - 58.3 - 42,7572.053424,---,7572.053424,7572.053424,,,,,,,,,,
2.83_223.0643m/z,,223.06427,1,2.82975,0.197966667,0,100 - 31.4,1772.694493,---,1772.694493,1772.694493,,,,,,,,,,
2.83_355.0702m/z,,355.0702225,1,2.82975,0.36305,0,100 - 33.9 - 20.9,8082.284157,---,8082.284157,8082.284157,,,,,,,,,,
3.32_429.0890m/z,,429.0889767,1,3.324533333,0.247383333,0,100 - 56.8 - 15.3,4912.184045,---,4912.184045,4912.184045,,,,,,,,,,
3.36_614.1784m/z,,614.1783816,1,3.357466667,0.280333333,0,100 - 53.9,3945.399529,---,3945.399529,3945.399529,,,,,,,,,,
3.42_414.3191m/z,,414.3191026,1,3.42335,0.115283333,0,100,1394.455474,---,1394.455474,1394.455474,,,,,,,,,,
3.52_355.0703m/z,,355.0702634,1,3.522183333,0.247383333,0,100 - 33.7,4105.702013,---,4105.702013,4105.702013,,,,,,,,,,
3.52_669.2212m/z,,669.2212023,1,3.522183333,0.313266667,0,100 - 62.8 - 47.2 - 24.1 - 10.6,30297.17021,---,30297.17021,30297.17021,,,,,,,,,,
3.54_371.1017m/z,,371.1017456,1,3.53865,0.32975,0,100 - 36.7 - 23.2 - 5.06,23613.63897,---,23613.63897,23613.63897,,,,,,,,,,
3.54_445.1203m/z,,445.1203392,1,3.53865,0.263866667,0,100 - 37.8 - 27.2,7398.973098,---,7398.973098,7398.973098,,,,,,,,,,
3.54_610.1612n,610.1611844,628.19501,1,3.53865,0.2968,0,100 - 58.9 - 42.7 - 16.6 - 6.68,63496.67052,---,63496.67052,63496.67052,,,"M+H-H2O, M+NH4, M+Na",,,,,,,
3.56_240.0675n,240.0674657,223.0641774,1,3.555116667,0.346216667,0,100 - 22.8,10924.66161,---,10924.66161,10924.66161,,,"M+H-H2O, M+H",,,,,,,
